sensorId,lat,lon,boxName,boxId,unit,date,temp
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,2018-10-26T23Z,7.897442802406943
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,2018-10-26T23Z,8.888675170901786
570bad2b45fd40c8197f13a8,51.974581,7.607807,Balkon Gasselstiege,570bad2b45fd40c8197f13a2,°C,2018-10-27T00Z,6.402576597707319
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,2018-10-27T00Z,8.004895678843077
5b2689841fef04001b7af54c,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,°C,2018-10-27T00Z,6.472070074774562
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,2018-10-27T00Z,13.586665482412098
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,2018-10-27T00Z,7.997731333600726
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,2018-10-27T00Z,5.9349623408492596
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,°C,2018-10-27T00Z,6.413710862086653
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,2018-10-27T00Z,7.077395574372281
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,°C,2018-10-27T00Z,7.2537661407226075
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,2018-10-27T00Z,7.3802502925496745
5b2cc9471fef04001b7b4b44,51.928442,7.667642,TTN Device 1,5b2cc9471fef04001b7b4b3f,°C,2018-10-27T00Z,12.690019033312462
5b3e7f6f5dc1ec001be11cf4,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,°C,2018-10-27T00Z,5.632829131340183
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,2018-10-27T00Z,7.345481058612049
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,°C,2018-10-27T00Z,6.88350642079339
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,2018-10-27T00Z,6.520276993531758
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,2018-10-27T00Z,
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,2018-10-27T00Z,6.4637728623283515
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,2018-10-27T00Z,7.348483097182187
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,2018-10-27T00Z,8.407000401075
570bad2b45fd40c8197f13a8,51.974581,7.607807,Balkon Gasselstiege,570bad2b45fd40c8197f13a2,°C,2018-10-27T01Z,6.28231965042804
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,2018-10-27T01Z,7.803050080222726
5b2689841fef04001b7af54c,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,°C,2018-10-27T01Z,6.2152577319377755
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,2018-10-27T01Z,13.456720026289027
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,2018-10-27T01Z,7.858321408332719
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,2018-10-27T01Z,5.72943498450152
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,°C,2018-10-27T01Z,6.192178003879435
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,2018-10-27T01Z,6.944087851891645
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,°C,2018-10-27T01Z,7.030871537802024
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,2018-10-27T01Z,7.188693529530119
5b2cc9471fef04001b7b4b44,51.928442,7.667642,TTN Device 1,5b2cc9471fef04001b7b4b3f,°C,2018-10-27T01Z,12.254147269256867
5b3e7f6f5dc1ec001be11cf4,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,°C,2018-10-27T01Z,5.518611159065059
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,2018-10-27T01Z,7.125715978157454
5a0c347b9fd3c2001111b708,51.921125,7.620665,VennheideBox,5a0c347b9fd3c2001111b701,°C,2018-10-27T01Z,6.752679628636407
599c9b80d67eb500118c6b60,51.954793,7.650543,wb132ms,599c9b80d67eb500118c6b5e,°C,2018-10-27T01Z,6.307611022149
5ab3dd50850005001bd25b5a,51.972139,7.642386,Wetterfuchs home,5ab3dd50850005001bd25b55,°C,2018-10-27T01Z,
591f578c51d34600116a8ea6,51.96422,7.645218,Wetterstation Erpho,591f578c51d34600116a8ea5,°C,2018-10-27T01Z,6.267125116397428
5a0c15289fd3c200110f3d3a,51.953351,7.641463,Wetterstation Hansaring,5a0c15289fd3c200110f3d33,°C,2018-10-27T01Z,7.155133421303528
56957f3ab3de1fe0052532e0,51.957090029248754,7.640642523765564,WG Wolbecker Str.,56957f3ab3de1fe0052532da,°C,2018-10-27T01Z,8.119841273182386
570bad2b45fd40c8197f13a8,51.974581,7.607807,Balkon Gasselstiege,570bad2b45fd40c8197f13a2,°C,2018-10-27T02Z,6.046423039468602
5750220bed08f9680c6b415a,51.95616769306822,7.6511693559587,BalkonBox Mindener Str.,5750220bed08f9680c6b4154,°C,2018-10-27T02Z,7.535245893277098
5b2689841fef04001b7af54c,51.966853,7.661677,Euglers Wetterstation,5b2689841fef04001b7af54a,°C,2018-10-27T02Z,6.026504253202576
5abd221b850005001b1aff37,51.973023,7.64153,Feinstaub_MS_PIUSALLEE,5abd221b850005001b1aff35,°C,2018-10-27T02Z,13.179543894848818
5a809753398b820011b45e88,51.953156,7.544077,Jackson Storm,5a809753398b820011b45e83,°C,2018-10-27T02Z,7.853793893231263
59c67b5ed67eb50011666dc0,51.946322,7.62677,kartoffelsalat,59c67b5ed67eb50011666dbb,°C,2018-10-27T02Z,5.518581840982483
58932c89d038b000102f7d3a,52.001647,7.614025,KiTa Glühwürmchen,58932c89d038b000102f7d35,°C,2018-10-27T02Z,5.9244141855149035
5a30ea5375a96c000f012fe7,51.951978,7.628977,Münster Süd,5a30ea5375a96c000f012fe0,°C,2018-10-27T02Z,6.719155811929546
5a0c30489fd3c20011115fbe,51.970725,7.631443,Nordschänke,5a0c30489fd3c20011115fb7,°C,2018-10-27T02Z,6.768412296488761
57000b8745fd40c8196ad052,51.962372,7.64568,Oststr/Mauritzsteinpfad,57000b8745fd40c8196ad04c,°C,2018-10-27T02Z,6.977644557550211
5b2cc9471fef04001b7b4b44,51.928442,7.667642,TTN Device 1,5b2cc9471fef04001b7b4b3f,°C,2018-10-27T02Z,11.899641841218846
5b3e7f6f5dc1ec001be11cf4,51.994149,7.569078,U6B GTÜ SSH Bölling & Partner,5b3e7f6f5dc1ec001be11cf1,°C,2018-10-27T02Z,5.228365723160657
5a0c2cc89fd3c200111118f7,51.960435,7.641426,Umwelthaus Münster,5a0c2cc89fd3c200111118f0,°C,2018-10-27T02Z,6.920203675715921
